date,predicted_roberta,RateDiff,prev_decision,Employ_diff_year,Rsales_diff_year,Unemp_diff_year,Employ_diff_prev,GDP_diff_year,PCE_diff_prev,Unemp_diff_prev,Hsales_diff_year,GDP_diff_prev,Taylor,next_decision
2001-11-06,0.08333333333333333,-0.5,-1,-900.0,4.144557128952243,-1.4,-313.0,0.48923629256109535,-0.5682337726803682,-0.2999999999999998,-6.645230439442658,-0.4006391953190693,5.684731627098507,-1
2001-12-11,-0.0625,-0.25,-1,-1411.0,2.0813480167871004,-1.6,-310.0,0.48923629256109535,0.7041698415617875,-0.20000000000000018,5.0,-0.4006391953190693,6.540661524082892,0
2002-01-30,0.2727272727272727,0.0,-1,-1733.0,1.2459165843652662,-1.8000000000000003,-157.0,0.48923629256109535,0.20351188457224137,-0.20000000000000018,-0.40691759918616477,-0.4006391953190693,6.5816661279591635,0
2002-03-19,0.375,0.0,0,-2053.0,1.1042084927459375,-1.5,-120.0,0.16731829373149246,0.055969177903878994,0.0,-1.557632398753894,0.27477544785908226,5.769761481084366,0
2002-05-07,0.2631578947368421,0.0,0,-1839.0,1.194185491368696,-1.5,-104.0,1.3372586567694487,0.11945259549715488,-0.20000000000000018,2.9702970297029703,0.83635865643241,5.8823092932480545,0
2002-06-26,0.3,0.0,0,-1779.0,-0.013226846719742013,-1.5,16.0,1.3372586567694487,0.2788224614187569,0.10000000000000053,10.508474576271185,0.83635865643241,6.064065433393642,0
2002-08-13,0.14285714285714285,0.0,0,-1588.0,2.3921653253446395,-1.2000000000000002,-100.0,1.3253787532159844,0.15889214711088173,0.0,8.636363636363637,0.6127065840058145,6.054160581664934,0
2002-09-24,0.045454545454545456,0.0,0,-1437.0,2.2069948055877755,-0.7999999999999998,4.0,1.3253787532159844,0.20378156679648546,0.09999999999999964,17.090069284064665,0.6127065840058145,5.97155155143065,-1
2002-11-06,0.23529411764705882,-0.5,0,-831.0,-3.638939974072176,-0.40000000000000036,123.0,2.1465169830615425,0.1631447106429383,0.0,15.49942594718714,0.40651143003508405,7.171112448006932,0
2002-12-10,0.18181818181818182,0.0,-1,-524.0,-0.7146698979307957,-0.40000000000000036,-3.0,2.1465169830615425,0.08464577027651274,-0.20000000000000018,10.822510822510822,0.40651143003508405,6.225848060898848,0
2003-01-29,-0.09090909090909091,0.0,0,-515.0,1.102398639353693,-0.2999999999999998,-148.0,2.1465169830615425,0.09738845177991186,-0.09999999999999964,7.048008171603677,0.40651143003508405,6.0641179388786455,0
2003-03-18,-0.4,0.0,0,-289.0,-0.9710071623486509,-0.20000000000000018,-136.0,1.9925248221954677,0.06778620486781341,-0.10000000000000053,-1.2658227848101267,0.12360505255194891,5.911194999656088,0
2003-03-25,0.0,0.0,0,-289.0,-0.9710071623486509,-0.20000000000000018,-136.0,1.9925248221954677,0.06778620486781341,-0.10000000000000053,-1.2658227848101267,0.12360505255194891,5.911194999656088,0
2003-04-08,0.0,0.0,0,-488.0,1.1830455259026686,-0.20000000000000018,-210.0,1.9925248221954677,0.13803680981595615,0.0,8.234019501625136,0.12360505255194891,5.830140055345305,0
2003-05-06,0.08,0.0,0,-441.0,0.1645053355598458,-0.09999999999999964,-57.0,1.6792570124718333,0.16082095267269716,-0.09999999999999964,8.11965811965812,0.526641985805063,5.832626958064454,-1
2003-06-25,0.3076923076923077,-0.25,0,-436.0,2.087598505798535,-0.2999999999999998,21.0,1.6792570124718333,0.11086474501109068,-0.09999999999999964,10.224948875255624,0.526641985805063,5.576946767232734,0
2003-08-12,0.25,0.0,-1,-400.0,2.1571362157136216,-0.40000000000000036,-9.0,1.95506515247238,0.055926989856873846,0.09999999999999964,22.17573221757322,0.8856216728714981,5.606800872667452,0
2003-09-15,0.22727272727272727,0.0,0,-434.0,2.899471421610653,-0.39999999999999947,-30.0,1.95506515247238,0.2502604232831153,0.10000000000000053,18.93491124260355,0.8856216728714981,5.677439856570193,0
2003-09-16,0.23809523809523808,0.0,0,-434.0,2.899471421610653,-0.39999999999999947,-30.0,1.95506515247238,0.2502604232831153,0.10000000000000053,18.93491124260355,0.8856216728714981,5.677439856570193,0
2003-10-28,0.125,0.0,0,-246.0,3.61148201781606,-0.39999999999999947,99.0,1.95506515247238,0.11277957295824448,0.0,8.333333333333332,0.8856216728714981,5.549476971513836,0
2003-12-09,0.25,0.0,0,-136.0,3.844405561747729,0.10000000000000053,43.0,3.2311353875128903,0.18454382283793108,0.20000000000000018,6.73828125,1.6631999569710652,6.201699916320684,0
2004-01-28,0.037037037037037035,0.0,0,125.0,2.4930884981476558,0.2999999999999998,113.0,3.2311353875128903,0.13626040878121357,0.09999999999999964,7.729007633587787,1.6631999569710652,6.260863279711174,0
2004-03-16,0.5,0.0,0,379.0,5.170630816959669,0.3000000000000007,57.0,4.300440651057468,0.2567103325908965,0.10000000000000053,23.824786324786324,1.1607213981763227,6.888063926061084,0
2004-05-04,0.43333333333333335,0.0,0,1234.0,3.682586115001797,0.40000000000000036,271.0,4.341952085996711,0.1679197994987473,0.20000000000000018,17.193675889328063,0.5666514539569318,6.923784224318988,1
2004-06-30,0.3,0.25,0,1497.0,4.578522901870284,0.5,284.0,4.341952085996711,0.2602146771086126,0.0,15.120593692022263,0.5666514539569318,7.151724375391721,1
2004-08-10,0.3076923076923077,0.25,1,1666.0,2.2147386305027155,0.7000000000000002,60.0,4.227491217016895,0.15825150775059757,0.09999999999999964,-6.8493150684931505,0.7749523237421211,7.376496024568848,1
2004-09-21,0.15384615384615385,0.25,1,1783.0,1.0537420429888393,0.6999999999999993,87.0,4.227491217016895,0.11819007452195084,0.09999999999999964,-2.570480928689884,0.7749523237421211,7.174715325783946,1
2004-11-10,0.4166666666666667,0.25,1,1994.0,3.8798672740838693,0.5,351.0,3.494860356231756,0.18756598969009436,-0.09999999999999964,14.073426573426573,0.9485938887930854,7.285744274216961,1
2004-12-14,0.3333333333333333,0.25,1,2027.0,2.5448069508487685,0.39999999999999947,76.0,3.494860356231756,0.21697083911921883,0.09999999999999964,7.868252516010979,0.9485938887930854,7.335241500280239,1
2005-02-02,0.2727272727272727,0.25,1,2038.0,4.467830893445492,0.2999999999999998,124.0,3.351104943954788,0.1283871365965054,0.0,10.008857395925599,1.0202081286209543,7.642658935084327,1
2005-03-22,0.2,0.25,1,2211.0,3.7784492889176677,0.1999999999999993,255.0,3.351104943954788,0.3600093701068952,-0.10000000000000053,13.805004314063849,1.0202081286209543,7.800404193093235,1
2005-05-03,0.24242424242424243,0.25,1,2014.0,1.9890070314852313,0.5999999999999996,120.0,3.908843257252434,0.2465168759811536,0.20000000000000018,4.075235109717868,1.1093633541958179,8.16135537137532,1
2005-06-30,0.375,0.25,1,1993.0,1.9524312459803752,0.5,171.0,3.908843257252434,0.1150029974185599,0.10000000000000053,3.62610797743755,1.1093633541958179,7.93920280974423,1
2005-08-09,0.36363636363636365,0.25,1,2448.0,5.560535454572438,0.5,357.0,3.617735580161184,0.06951304284198852,0.0,27.66544117647059,0.49262445481072953,7.8514734651318845,1
2005-09-20,0.30434782608695654,0.25,1,2559.0,3.8406330074973907,0.5,198.0,3.617735580161184,0.1462415911085168,0.09999999999999964,6.808510638297872,0.49262445481072953,7.894377917098244,1
2005-11-01,0.7142857142857143,0.25,1,2469.0,1.1753973544787901,0.40000000000000036,56.0,3.448598847170803,0.22129542939824928,-0.09999999999999964,2.471169686985173,0.7838140345072884,8.057454401663104,1
2005-12-13,0.625,0.25,1,2492.0,2.522000994064848,0.40000000000000036,357.0,3.448598847170803,0.28753412192903727,0.0,2.9686174724342664,0.7838140345072884,8.216976262501714,1
2006-01-31,0.5789473684210527,0.25,1,2528.0,1.2979286283661233,0.5,160.0,2.9727366937912945,0.2552563451162548,0.09999999999999964,-0.24154589371980675,0.5555165396517299,8.278191959964362,1
2006-03-28,0.6086956521739131,0.25,1,2698.0,2.771390606043099,0.6000000000000005,306.0,2.9727366937912945,0.22420713846598056,-0.09999999999999964,-19.56027293404094,0.5555165396517299,8.02254858028348,1
2006-05-10,0.5,0.25,1,2695.0,2.487842776163209,0.5,171.0,3.2131067957182116,0.276180069405257,0.0,-10.873015873015873,1.3453837684874692,8.443390043662236,1
2006-06-29,0.08333333333333333,0.25,1,2560.0,2.55223103188842,0.5,36.0,3.2131067957182116,0.3053563089008316,0.10000000000000053,-15.552099533437014,1.3453837684874692,8.734774995976878,0
2006-08-08,0.08333333333333333,0.0,1,2225.0,-0.497688699935891,0.2999999999999998,194.0,2.9729038556202205,0.2524590944816292,-0.10000000000000053,-30.52555795536357,0.2587527634955503,8.926228617025945,0
2006-09-20,0.26666666666666666,0.0,0,2193.0,1.0944381294018861,0.20000000000000018,166.0,2.9729038556202205,0.09740336873113538,0.0,-17.52988047808765,0.2587527634955503,8.851179431331905,0
2006-10-25,0.125,0.0,0,2273.0,2.3038331714985896,0.5,136.0,2.9729038556202205,0.20411069445103366,0.20000000000000018,-18.327974276527332,0.2587527634955503,9.039574207508643,0
2006-12-12,0.0,0.0,0,2068.0,1.4407282350793942,0.5,221.0,2.3252779374244965,0.18090880068107532,-0.09999999999999964,-17.380560131795715,0.14995592563156762,8.572815173384384,0
